Kingdom,Phylum,Class,Order,Family,Genus,Species,Infrarank,Subpopulation,Taxon ID,Friendly Name,Taxonomic Authority 
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ANOMALURIDAE,Anomalurus,derbianus,N/A,N/A,1550,"Anomalurus derbianus","(Gray, 1842)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ANOMALURIDAE,Anomalurus,pelii,N/A,N/A,1551,"Anomalurus pelii","(Schlegel &amp; Müller, 1845)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ANOMALURIDAE,Anomalurus,pusillus,N/A,N/A,1553,"Anomalurus pusillus","Thomas, 1887"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Anonymomys,mindorensis,N/A,N/A,1559,"Anonymomys mindorensis","Musser, 1981"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Anotomys,leander,N/A,N/A,1564,"Anotomys leander","Thomas, 1906"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Heimyscus,fumosus,N/A,N/A,9759,"Heimyscus fumosus","(Brosset, DuBost &amp; Heim de Balsac, 1965)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Urocitellus,richardsonii,N/A,N/A,42561,"Urocitellus richardsonii","Sabine, 1822"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Callospermophilus,saturatus,N/A,N/A,42562,"Callospermophilus saturatus","Rhoads, 1895"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Xerospermophilus,spilosoma,N/A,N/A,42563,"Xerospermophilus spilosoma","Bennett, 1833"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Ictidomys,tridecemlineatus,N/A,N/A,42564,"Ictidomys tridecemlineatus","Mitchill, 1821"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Sundasciurus,davensis,N/A,N/A,42565,"Sundasciurus davensis","(Sanborn, 1952)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Sundasciurus,hoogstraali,N/A,N/A,42566,"Sundasciurus hoogstraali","(Sanborn, 1952)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Sundasciurus,mindanensis,N/A,N/A,42567,"Sundasciurus mindanensis","(Steere, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,alpinus,N/A,N/A,42568,"Neotamias alpinus","(Merriam, 1893)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,amoenus,N/A,N/A,42569,"Neotamias amoenus","(J.A. Allen, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,cinereicollis,N/A,N/A,42570,"Neotamias cinereicollis","(J.A. Allen, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,dorsalis,N/A,N/A,42571,"Neotamias dorsalis","(Baird, 1855)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,minimus,N/A,N/A,42572,"Neotamias minimus","(Bachman, 1839)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,ochrogenys,N/A,N/A,42573,"Neotamias ochrogenys","(Merriam, 1897)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,panamintinus,N/A,N/A,42574,"Neotamias panamintinus","(Merriam, 1893)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,quadrimaculatus,N/A,N/A,42575,"Neotamias quadrimaculatus","(Gray, 1867)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,quadrivittatus,N/A,N/A,42576,"Neotamias quadrivittatus","(Say, 1823)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,ruficaudus,N/A,N/A,42577,"Neotamias ruficaudus","(A.H. Howell, 1920)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,rufus,N/A,N/A,42578,"Neotamias rufus","(Hoffmeister &amp; Ellis, 1979)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,senex,N/A,N/A,42579,"Neotamias senex","(J.A. Allen, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,siskiyou,N/A,N/A,42580,"Neotamias siskiyou","(A.H. Howell, 1922)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,sonomae,N/A,N/A,42581,"Neotamias sonomae","(Grinnell, 1915)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,speciosus,N/A,N/A,42582,"Neotamias speciosus","(Merriam, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Tamias,striatus,N/A,N/A,42583,"Tamias striatus","(Linnaeus, 1758)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,townsendii,N/A,N/A,42584,"Neotamias townsendii","(Bachman, 1839)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Neotamias,umbrinus,N/A,N/A,42585,"Neotamias umbrinus","(J.A. Allen, 1890)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Tamiasciurus,douglasii,N/A,N/A,42586,"Tamiasciurus douglasii","(Bachman, 1839)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Tamiasciurus,hudsonicus,N/A,N/A,42587,"Tamiasciurus hudsonicus","(Erxleben, 1777)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Geomys,bursarius,N/A,N/A,42588,"Geomys bursarius","(Shaw, 1800)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Geomys,pinetis,N/A,N/A,42589,"Geomys pinetis","Rafinesque, 1817"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Orthogeomys,grandis,N/A,N/A,42590,"Orthogeomys grandis","(Thomas, 1893)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Heterogeomys,lanius,N/A,N/A,42591,"Heterogeomys lanius","(Elliot, 1905)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Heterogeomys,cherriei,matagalpae,42592,"Heterogeomys cherriei ssp. matagalpae","J.A. Allen, 1910"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Orthogeomys,underwoodi,N/A,N/A,42593,"Orthogeomys underwoodi","(Osgood, 1931)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Thomomys,bulbivorus,N/A,N/A,42594,"Thomomys bulbivorus","(Richardson, 1829)"
ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Thomomys,clusius,N/A,N/A,42595,"Thomomys clusius","Coues, 1875"
